section,item,is_composite,cal,fat,satfat,transfat,chol,sodium,carbs,fiber,sugars,protein,allergens,page
BREAKFAST HASHBROWN BOWLS,American Cheese (2 Slices),False,100,9,5,0,25,500,2,0,1,5,Milk; Soy,1
BREAKFAST HASHBROWN BOWLS,Ham Egg & Cheese Hashbrown Bowl,True,800,43,16,1,413,2416,66,6,5,41,Egg; Milk; Soy,1
BREAKFAST HASHBROWN BOWLS,Large Hashbrowns,False,380,14,5,0,0,480,58,6,0,6,Soy,1
BREAKFAST HASHBROWN BOWLS,Diced Ham,False,140,6,2,0,50,1260,4,0,2,18,,1
BREAKFAST HASHBROWN BOWLS,2 Eggs - Scrambled,False,180,14,4,1,338,176,2,0,2,12,Egg; Soy,1
BREAKFAST HASHBROWN BOWLS,American Cheese (2 Slices),False,100,9,5,0,25,500,2,0,1,5,Milk; Soy,1
EGG BREAKFASTS,2 Egg Breakfast: 2 Eggs - Scrambled,False,180,14,4,1,338,176,2,0,2,12,Egg; Soy,2
EGG BREAKFASTS,White Toast - 2 Slices,False,130,2,0,0,0,260,25,1,3,4,Milk; Soy; Wheat,2
EGG BREAKFASTS,Wheat Toast - 2 Slices,False,120,2,0,0,0,250,26,4,2,6,Milk; Soy; Wheat,2
EGG BREAKFASTS,Raisin Toast - 2 Slices,False,220,3,0,0,0,280,42,2,16,6,Milk; Soy; Wheat,2
EGG BREAKFASTS,Grilled Biscuit,False,300,15,9,0,0,800,34,1,2,5,Egg; Milk; Soy; Wheat,2
EGG BREAKFASTS,Texas Toast - 1 Slice,False,100,1,0,0,0,190,19,1,2,3,Milk; Soy; Wheat,2
EGG BREAKFASTS,Grits,False,90,3,1,0,0,300,16,1,0,3,Egg; Milk; Soy; Wheat,2
EGG BREAKFASTS,Hashbrowns,False,190,7,3,0,0,240,29,3,0,3,Soy,2
EGG BREAKFASTS,Sliced Tomatoes,False,10,0,0,0,0,0,2,0,2,0,,2
EGG BREAKFASTS,Cheese 'N Eggs: 2 Scrambled Eggs with Cheese,False,280,23,9,1,363,676,4,0,3,17,Egg; Milk; Soy,2
EGG BREAKFASTS,White Toast - 2 Slices,False,130,2,0,0,0,260,25,1,3,4,Milk; Soy; Wheat,2
EGG BREAKFASTS,Wheat Toast - 2 Slices,False,120,2,0,0,0,250,26,4,2,6,Milk; Soy; Wheat,2
EGG BREAKFASTS,Raisin Toast - 2 Slices,False,220,3,0,0,0,280,42,2,16,6,Milk; Soy; Wheat,2
EGG BREAKFASTS,Grilled Biscuit,False,300,15,9,0,0,800,34,1,2,5,Egg; Milk; Soy; Wheat,2
EGG BREAKFASTS,Texas Toast - 1 Slice,False,100,1,0,0,0,190,19,1,2,3,Milk; Soy; Wheat,2
EGG BREAKFASTS,Grits,False,90,3,1,0,0,300,16,1,0,3,Egg; Milk; Soy; Wheat,2
EGG BREAKFASTS,Hashbrowns,False,190,7,3,0,0,240,29,3,0,3,Soy,2
EGG BREAKFASTS,Sliced Tomatoes,False,10,0,0,0,0,0,2,0,2,0,,2
EGG BREAKFASTS,T-Bone & Eggs: T-Bone Steak and 2 Eggs - Scrambled,False,600,43,15,1,453,436,2,0,2,49,Egg; Soy,2
EGG BREAKFASTS,White Toast - 2 Slices,False,130,2,0,0,0,260,25,1,3,4,Milk; Soy; Wheat,2
EGG BREAKFASTS,Wheat Toast - 2 Slices,False,120,2,0,0,0,250,26,4,2,6,Milk; Soy; Wheat,2
EGG BREAKFASTS,Raisin Toast - 2 Slices,False,220,3,0,0,0,280,42,2,16,6,Milk; Soy; Wheat,2
EGG BREAKFASTS,Grilled Biscuit,False,300,15,9,0,0,800,34,1,2,5,Egg; Milk; Soy; Wheat,2
EGG BREAKFASTS,Texas Toast - 1 Slice,False,100,1,0,0,0,190,19,1,2,3,Milk; Soy; Wheat,2
EGG BREAKFASTS,Grits,False,90,3,1,0,0,300,16,1,0,3,Egg; Milk; Soy; Wheat,2
EGG BREAKFASTS,Hashbrowns,False,190,7,3,0,0,240,29,3,0,3,Soy,2
EGG BREAKFASTS,Sliced Tomatoes,False,10,0,0,0,0,0,2,0,2,0,,2
EGG BREAKFASTS,Steak & Eggs: Delmonico Steak and 2 Eggs - Scrambled,False,480,28,9,2,473,636,2,0,2,53,Egg; Soy,2
EGG BREAKFASTS,White Toast - 2 Slices,False,130,2,0,0,0,260,25,1,3,4,Milk; Soy; Wheat,2
EGG BREAKFASTS,Wheat Toast - 2 Slices,False,120,2,0,0,0,250,26,4,2,6,Milk; Soy; Wheat,2
EGG BREAKFASTS,Raisin Toast - 2 Slices,False,220,3,0,0,0,280,42,2,16,6,Milk; Soy; Wheat,2
EGG BREAKFASTS,Grilled Biscuit,False,300,15,9,0,0,800,34,1,2,5,Egg; Milk; Soy; Wheat,2
EGG BREAKFASTS,Texas Toast - 1 Slice,False,100,1,0,0,0,190,19,1,2,3,Milk; Soy; Wheat,2
EGG BREAKFASTS,Grits,False,90,3,1,0,0,300,16,1,0,3,Egg; Milk; Soy; Wheat,2
EGG BREAKFASTS,Hashbrowns,False,190,7,3,0,0,240,29,3,0,3,Soy,2
EGG BREAKFASTS,Sliced Tomatoes,False,10,0,0,0,0,0,2,0,2,0,,2
EGG BREAKFASTS,Country Ham & Eggs: Country Ham and 2 Eggs - Scrambled,False,370,23,7,1,433,2286,3,0,3,37,Egg; Soy,2
EGG BREAKFASTS,White Toast - 2 Slices,False,130,2,0,0,0,260,25,1,3,4,Milk; Soy; Wheat,2
EGG BREAKFASTS,Wheat Toast - 2 Slices,False,120,2,0,0,0,250,26,4,2,6,Milk; Soy; Wheat,2
EGG BREAKFASTS,Raisin Toast - 2 Slices,False,220,3,0,0,0,280,42,2,16,6,Milk; Soy; Wheat,2
EGG BREAKFASTS,Grilled Biscuit,False,300,15,9,0,0,800,34,1,2,5,Egg; Milk; Soy; Wheat,2
EGG BREAKFASTS,Texas Toast - 1 Slice,False,100,1,0,0,0,190,19,1,2,3,Milk; Soy; Wheat,2
EGG BREAKFASTS,Grits,False,90,3,1,0,0,300,16,1,0,3,Egg; Milk; Soy; Wheat,2
EGG BREAKFASTS,Hashbrowns,False,190,7,3,0,0,240,29,3,0,3,Soy,2
EGG BREAKFASTS,Sliced Tomatoes,False,10,0,0,0,0,0,2,0,2,0,,2
EGG BREAKFASTS,Chicken & Eggs: Grilled Chicken and 2 Eggs - Scrambled,False,310,15,4,1,418,1106,4,0,2,41,Egg; Soy,2
EGG BREAKFASTS,White Toast - 2 Slices,False,130,2,0,0,0,260,25,1,3,4,Milk; Soy; Wheat,2
EGG BREAKFASTS,Wheat Toast - 2 Slices,False,120,2,0,0,0,250,26,4,2,6,Milk; Soy; Wheat,2
EGG BREAKFASTS,Raisin Toast - 2 Slices,False,220,3,0,0,0,280,42,2,16,6,Milk; Soy; Wheat,2
EGG BREAKFASTS,Grilled Biscuit,False,300,15,9,0,0,800,34,1,2,5,Egg; Milk; Soy; Wheat,2
EGG BREAKFASTS,Texas Toast - 1 Slice,False,100,1,0,0,0,190,19,1,2,3,Milk; Soy; Wheat,2
EGG BREAKFASTS,Grits,False,90,3,1,0,0,300,16,1,0,3,Egg; Milk; Soy; Wheat,2
EGG BREAKFASTS,Hashbrowns,False,190,7,3,0,0,240,29,3,0,3,Soy,2
EGG BREAKFASTS,Sliced Tomatoes,False,10,0,0,0,0,0,2,0,2,0,,2
EGG BREAKFASTS CONTINUED,Meat Lover's Chicken & Eggs: 2 Pieces of Grilled Chicken and 2 Eggs - Scrambled,False,440,16,4,1,498,2036,6,0,2,70,Egg; Soy,3
EGG BREAKFASTS CONTINUED,White Toast - 2 Slices,False,130,2,0,0,0,260,25,1,3,4,Milk; Soy; Wheat,3
EGG BREAKFASTS CONTINUED,Wheat Toast - 2 Slices,False,120,2,0,0,0,250,26,4,2,6,Milk; Soy; Wheat,3
EGG BREAKFASTS CONTINUED,Raisin Toast - 2 Slices,False,220,3,0,0,0,280,42,2,16,6,Milk; Soy; Wheat,3
EGG BREAKFASTS CONTINUED,Grilled Biscuit,False,300,15,9,0,0,800,34,1,2,5,Egg; Milk; Soy; Wheat,3
EGG BREAKFASTS CONTINUED,Texas Toast - 1 Slice,False,100,1,0,0,0,190,19,1,2,3,Milk; Soy; Wheat,3
EGG BREAKFASTS CONTINUED,Grits,False,90,3,1,0,0,300,16,1,0,3,Egg; Milk; Soy; Wheat,3
EGG BREAKFASTS CONTINUED,Hashbrowns,False,190,7,3,0,0,240,29,3,0,3,Soy,3
EGG BREAKFASTS CONTINUED,Sliced Tomatoes,False,10,0,0,0,0,0,2,0,2,0,,3
EGG BREAKFASTS CONTINUED,Pork Chops & Eggs: 2 Grilled Pork Chops and 2 Eggs - Scrambled,False,520,28,9,1,478,1216,2,0,2,64,Egg; Soy,3
EGG BREAKFASTS CONTINUED,White Toast - 2 Slices,False,130,2,0,0,0,260,25,1,3,4,Milk; Soy; Wheat,3
EGG BREAKFASTS CONTINUED,Wheat Toast - 2 Slices,False,120,2,0,0,0,250,26,4,2,6,Milk; Soy; Wheat,3
EGG BREAKFASTS CONTINUED,Raisin Toast - 2 Slices,False,220,3,0,0,0,280,42,2,16,6,Milk; Soy; Wheat,3
EGG BREAKFASTS CONTINUED,Grilled Biscuit,False,300,15,9,0,0,800,34,1,2,5,Egg; Milk; Soy; Wheat,3
EGG BREAKFASTS CONTINUED,Texas Toast - 1 Slice,False,100,1,0,0,0,190,19,1,2,3,Milk; Soy; Wheat,3
EGG BREAKFASTS CONTINUED,Grits,False,90,3,1,0,0,300,16,1,0,3,Egg; Milk; Soy; Wheat,3
EGG BREAKFASTS CONTINUED,Hashbrowns,False,190,7,3,0,0,240,29,3,0,3,Soy,3
EGG BREAKFASTS CONTINUED,Sliced Tomatoes,False,10,0,0,0,0,0,2,0,2,0,,3
EGG BREAKFASTS CONTINUED,Meat Lover's Pork Chops & Eggs: 3 Grilled Pork Chops and 2 Eggs - Scrambled,False,690,35,12,1,548,1736,2,0,2,90,Egg; Soy,3
EGG BREAKFASTS CONTINUED,White Toast - 2 Slices,False,130,2,0,0,0,260,25,1,3,4,Milk; Soy; Wheat,3
EGG BREAKFASTS CONTINUED,Wheat Toast - 2 Slices,False,120,2,0,0,0,250,26,4,2,6,Milk; Soy; Wheat,3
EGG BREAKFASTS CONTINUED,Raisin Toast - 2 Slices,False,220,3,0,0,0,280,42,2,16,6,Milk; Soy; Wheat,3
EGG BREAKFASTS CONTINUED,Grilled Biscuit,False,300,15,9,0,0,800,34,1,2,5,Egg; Milk; Soy; Wheat,3
EGG BREAKFASTS CONTINUED,Texas Toast - 1 Slice,False,100,1,0,0,0,190,19,1,2,3,Milk; Soy; Wheat,3
EGG BREAKFASTS CONTINUED,Grits,False,90,3,1,0,0,300,16,1,0,3,Egg; Milk; Soy; Wheat,3
EGG BREAKFASTS CONTINUED,Hashbrowns,False,190,7,3,0,0,240,29,3,0,3,Soy,3
EGG BREAKFASTS CONTINUED,Sliced Tomatoes,False,10,0,0,0,0,0,2,0,2,0,,3
EGG BREAKFASTS CONTINUED,Cheesesteak & Eggs: Cheesesteak and 2 Eggs - Scrambled,False,310,21,7,1,388,476,2,0,2,28,Egg; Soy,3
EGG BREAKFASTS CONTINUED,White Toast - 2 Slices,False,130,2,0,0,0,260,25,1,3,4,Milk; Soy; Wheat,3
EGG BREAKFASTS CONTINUED,Wheat Toast - 2 Slices,False,120,2,0,0,0,250,26,4,2,6,Milk; Soy; Wheat,3
EGG BREAKFASTS CONTINUED,Raisin Toast - 2 Slices,False,220,3,0,0,0,280,42,2,16,6,Milk; Soy; Wheat,3
EGG BREAKFASTS CONTINUED,Grilled Biscuit,False,300,15,9,0,0,800,34,1,2,5,Egg; Milk; Soy; Wheat,3
EGG BREAKFASTS CONTINUED,Texas Toast - 1 Slice,False,100,1,0,0,0,190,19,1,2,3,Milk; Soy; Wheat,3
EGG BREAKFASTS CONTINUED,Grits,False,90,3,1,0,0,300,16,1,0,3,Egg; Milk; Soy; Wheat,3
EGG BREAKFASTS CONTINUED,Hashbrowns,False,190,7,3,0,0,240,29,3,0,3,Soy,3
EGG BREAKFASTS CONTINUED,Sliced Tomatoes,False,10,0,0,0,0,0,2,0,2,0,,3
EGG BREAKFASTS CONTINUED,"Fiesta Protein Bowl: Grilled Chicken, 3 Eggs - Scrambled, 2 Cheese, 1 OPT",False,530,31,11,1,612,2084,14,1,6,52,Egg; Soy,3
Waffles,Classic Waffle House Waffle,False,410,18,10,0,50,870,55,2,15,8,Egg; Milk; Soy; Tree Nuts; Wheat,3
Waffles,Pecans,False,150,15,2,0,0,0,3,2,1,2,Tree Nuts,3
Waffles,ToppingsChocolate Chips,False,95,5,3,0,0,0,14,1,11,1,Soy,3
Waffles,Blueberry Nougat,False,98,2,3,1,0,8,13,0,9,1,Milk; Soy; Wheat,3
Waffles,Peanut Butter Chips,False,113,6,5,0,0,71,13,1,12,2,Milk; Peanut; Soy,3
Hashbrowns and Toppings,Waffle House Regular,False,190,7,3,0,0,240,29,3,0,3,Soy,4
Hashbrowns and Toppings,Hashbrowns: Large,False,380,14,5,0,0,480,58,6,0,6,Soy,4
Hashbrowns and Toppings,Triple,False,570,21,8,0,0,720,87,9,0,9,Soy,4
Hashbrowns and Toppings,Sautéed Onions,False,15,0,0,0,0,0,3,1,1,0,,4
Hashbrowns and Toppings,Melted American Cheese,False,50,5,3,0,13,250,1,0,1,3,Milk; Soy,4
Hashbrowns and Toppings,ToppingsHickory Smoked Ham,False,70,3,1,0,25,630,2,0,1,9,,4
Hashbrowns and Toppings,Grilled Tomatoes,False,5,0,0,0,0,0,2,0,1,0,,4
Hashbrowns and Toppings,Jalapeno Peppers,False,10,0,0,0,0,390,2,0,0,0,,4
Hashbrowns and Toppings,Grilled Mushrooms,False,10,0,0,0,0,140,2,1,1,1,,4
Hashbrowns and Toppings,Bert's Chili™,False,55,2,1,0,5,260,6,2,1,5,Milk; Soy; Wheat,4
Hashbrowns and Toppings,Sausage Gravy - 3 oz,False,75,18,2,0,4,385,8,0,0,1,Egg; Milk; Soy; Wheat,4
Breakfast Sides,Bacon,False,135,12,5,0,30,375,0,0,0,9,,4
Breakfast Sides,Large Bacon,False,225,20,8,0,50,625,0,0,0,15,,4
Breakfast Sides,Sausage,False,260,24,8,0,50,510,1,0,0,10,,4
Breakfast Sides,Large Sausage,False,390,36,12,0,75,765,2,0,0,15,,4
Breakfast Sides,Chicken Sausage,False,180,13,4,0,75,700,0,0,0,14,,4
Breakfast Sides,City Ham,False,100,3,1,0,40,850,7,0,6,14,,4
Breakfast Sides,Country Ham,False,190,9,3,0,95,2110,1,0,1,25,,4
Breakfast Sides,Biscuit & Sausage Gravy,False,375,33,11,0,4,1185,42,1,2,6,Egg; Milk; Soy; Wheat,4
Breakfast Sides,Grits,False,90,3,1,0,0,300,16,1,0,3,Egg; Milk; Soy; Wheat,4
Breakfast Sides,Cheese Grits,False,140,7,3,0,13,550,17,1,1,6,Egg; Milk; Soy; Wheat,4
Breakfast Sides,Tomatoes,False,10,0,0,0,0,0,2,1,2,1,,4
Breakfast Sides,Sausage Egg & Cheese Grits Bowl,False,720,52,18,1,413,1786,37,2,3,33,Egg; Milk; Soy; Wheat,4
Breakfast Sides,Chicken Sausage Egg & Cheese Grits Bowl,False,640,41,14,1,438,1976,36,2,3,37,,4
Breakfast Sides,Bacon Egg & Cheese Grits Bowl,False,595,40,15,1,393,1651,36,2,3,32,Egg; Milk; Soy; Wheat,4
Breakfast Sides,Ham Egg & Cheese Grits Bowl,False,600,34,12,1,413,2536,40,2,5,41,Egg; Milk; Soy; Wheat,4
Grilled Biscuits,Grilled Biscuit,False,300,15,9,0,0,800,34,1,2,5,Egg; Milk; Soy; Wheat,4
Grilled Biscuits,Sausage Egg & Cheese Biscuit,False,570,39,18,0,207,1393,37,1,4,19,Egg; Milk; Soy; Wheat,4
Grilled Biscuits,Chicken Sausage Egg & Cheese Biscuit,False,530,33,15,0,219,1488,36,1,4,21,,4
Grilled Biscuits,Bacon Egg & Cheese Biscuit,False,530,35,17,0,202,1388,36,1,4,20,Egg; Milk; Soy; Wheat,4
Grilled Biscuits,Chicken Biscuit,False,430,16,9,0,80,1730,36,1,2,34,Egg; Milk; Soy; Wheat,4
Grilled Biscuits,Bacon Biscuit,False,390,23,12,0,20,1050,34,1,2,11,Egg; Milk; Soy; Wheat,4
Grilled Biscuits,Sausage Biscuit,False,430,27,13,0,25,1055,35,1,2,10,Egg; Milk; Soy; Wheat,4
Grilled Biscuits,Chicken Sausage Biscuit,False,390,22,11,0,38,1150,34,1,2,12,Egg; Milk; Soy; Wheat,4
Grilled Biscuits,City Ham Biscuit (1),False,400,33,19,0,40,2450,75,2,10,24,Egg; Milk; Soy; Wheat,4
Grilled Biscuits,Add-ons: American Cheese - 1 slice,False,50,5,2.5,0,12.5,250,1,0,1,2.5,Milk; Soy,4
Grilled Biscuits,1 Egg - Scrambled,False,90,7,2,0,169,88,1,0,1,6,Egg; Soy,4
Grilled Biscuits,Ham Biscuits are served as 2 Biscuits Country Ham Biscuits (2),False,790,39,21,0,95,3710,69,2,5,35,Egg; Milk; Soy; Wheat,4
Grilled Biscuits,Add-ons: American Cheese - 2 slices,False,100,9,5,0,25,500,2,0,1,5,Milk; Soy,4
Grilled Biscuits,2 Eggs - Scrambled,False,180,14,4,1,338,176,2,0,2,12,Egg; Soy,4
Breakfast Sandwiches and Melts,Egg Sandwich,False,220,9,2,0,169,348,26,1,4,10,Egg; Soy; Wheat,5
Breakfast Sandwiches and Melts,Egg & Cheese Sandwich,False,270,13,5,0,182,598,27,1,5,13,Egg; Milk; Soy; Wheat,5
Breakfast Sandwiches and Melts,Texas Egg & Cheese Melt,False,390,18,7,0,194,968,41,2,6,17,Egg; Milk; Soy; Wheat,5
Breakfast Sandwiches and Melts,Sausage Sandwich,False,390,26,8,0,50,770,26,1,3,14,Soy; Wheat,5
Breakfast Sandwiches and Melts,Sausage & Egg Sandwich,False,480,33,10,0,219,858,27,1,4,20,Egg; Soy; Wheat,5
Breakfast Sandwiches and Melts,"Sausage, Egg & Cheese Sandwich",False,530,37,13,0,232,1108,28,1,5,23,Egg; Milk; Soy; Wheat,5
Breakfast Sandwiches and Melts,"Texas Sausage, Egg & Cheese Melt",False,650,42,15,0,244,1478,42,2,6,27,Egg; Milk; Soy; Wheat,5
Breakfast Sandwiches and Melts,Chicken Sausage Sandwich,False,310,15,4,0,75,960,25,1,3,18,Soy; Wheat,5
Breakfast Sandwiches and Melts,Chicken Sausage & Egg Sandwich,False,400,22,6,0,244,1048,26,1,4,24,Egg; Soy; Wheat,5
Breakfast Sandwiches and Melts,"Chicken Sausage, Egg & Cheese Sandwich",False,450,26,8,0,257,1298,27,1,5,27,Egg; Milk; Soy; Wheat,5
Breakfast Sandwiches and Melts,"Texas Chicken Sausage, Egg & Cheese Melt",False,570,31,11,0,269,1668,41,2,6,31,Egg; Milk; Soy; Wheat,5
Breakfast Sandwiches and Melts,Bacon Sandwich,False,265,14,5,0,30,635,25,1,3,13,Soy; Wheat,5
Breakfast Sandwiches and Melts,Bacon & Egg Sandwich,False,355,21,7,0,199,723,26,1,4,19,Egg; Soy; Wheat,5
Breakfast Sandwiches and Melts,"Bacon, Egg & Cheese Sandwich",False,405,25,9,0,212,973,27,1,5,22,Egg; Milk; Soy; Wheat,5
Breakfast Sandwiches and Melts,"Texas Bacon, Egg & Cheese Melt",False,525,30,12,0,224,1343,41,2,6,26,Egg; Milk; Soy; Wheat,5
Breakfast Sandwiches and Melts,Grilled Ham Sandwich,False,230,4,1,0,40,1110,32,1,9,18,Soy; Wheat,5
Breakfast Sandwiches and Melts,Ham & Egg Sandwich,False,320,11,3,0,209,1198,33,1,10,24,Egg; Soy; Wheat,5
Breakfast Sandwiches and Melts,"Ham, Egg & Cheese Sandwich",False,370,16,5,0,222,1448,34,1,11,27,Egg; Milk; Soy; Wheat,5
Breakfast Sandwiches and Melts,"Texas Ham, Egg & Cheese Melt",False,490,21,8,0,234,1818,48,2,12,31,Egg; Milk; Soy; Wheat,5
Kids Meals,Kids Waffle with Bacon or Sausage: Waffle,False,410,18,10,0,50,870,55,2,15,8,Egg; Milk; Soy; Tree Nuts; Wheat,5
Kids Meals,Kid's Bacon,False,90,8,3,0,20,250,0,0,0,6,,5
Kids Meals,Kid's Sausage,False,130,12,4,0,25,255,1,0,0,5,,5
Kids Meals,Kid's Chicken Sausage,False,90,7,2,0,38,350,0,0,0,7,,5
Kids Meals,Kid's 1 Egg Breakfast with Bacon or Sausage: 1 Egg Scrambled,False,90,7,2,0,169,88,1,0,1,6,Egg; Soy,5
Kids Meals,White Toast - 2 Slices,False,130,2,0,0,0,260,25,1,3,4,Milk; Soy; Wheat,5
Kids Meals,Wheat Toast - 2 Slices,False,120,2,0,0,0,250,26,4,2,6,Milk; Soy; Wheat,5
Kids Meals,Raisin Toast - 2 Slices,False,220,3,0,0,0,280,42,2,16,6,Milk; Soy; Wheat,5
Kids Meals,Grilled Biscuit,False,300,15,9,0,0,800,34,1,2,5,Egg; Milk; Soy; Wheat,5
Kids Meals,Texas Toast - 1 Slice,False,100,1,0,0,0,190,19,1,2,3,Milk; Soy; Wheat,5
Kids Meals,Grits,False,90,3,1,0,0,300,16,1,0,3,Egg; Milk; Soy; Wheat,5
Kids Meals,Hashbrowns,False,190,7,3,0,0,240,29,3,0,3,Soy,5
Kids Meals,Sliced Tomatoes,False,10,0,0,0,0,0,2,1,2,1,,5
Kids Meals,Kid's Bacon,False,90,8,3,0,20,250,0,0,0,6,,5
Kids Meals,Kid's Sausage,False,130,12,4,0,25,255,1,0,0,5,,5
Kids Meals,Kid's Chicken Sausage,False,90,7,2,0,38,350,0,0,0,7,,5
Toddle House© Omelet Breakfasts,Cheese Omelet Breakfast: 2 Egg Cheese Omelet,False,280,23,9,1,363,676,4,0,3,17,Egg; Milk; Soy,6
Toddle House© Omelet Breakfasts,White Toast - 2 Slices,False,130,2,0,0,0,260,25,1,3,4,Milk; Soy; Wheat,6
Toddle House© Omelet Breakfasts,Wheat Toast - 2 Slices,False,120,2,0,0,0,250,26,4,2,6,Milk; Soy; Wheat,6
Toddle House© Omelet Breakfasts,Raisin Toast - 2 Slices,False,220,3,0,0,0,280,42,2,16,6,Milk; Soy; Wheat,6
Toddle House© Omelet Breakfasts,Grilled Biscuit,False,300,15,9,0,0,800,34,1,2,5,Egg; Milk; Soy; Wheat,6
Toddle House© Omelet Breakfasts,Texas Toast - 1 Slice,False,100,1,0,0,0,190,19,1,2,3,Milk; Soy; Wheat,6
Toddle House© Omelet Breakfasts,Grits,False,90,3,1,0,0,300,16,1,0,3,Egg; Milk; Soy; Wheat,6
Toddle House© Omelet Breakfasts,Hashbrowns,False,190,7,3,0,0,240,29,3,0,3,Soy,6
Toddle House© Omelet Breakfasts,Sliced Tomatoes,False,10,0,0,0,0,0,2,1,2,1,,6
Toddle House© Omelet Breakfasts,Ham & Cheese Omelet Breakfast: 2 Egg Ham & Cheese Omelet,False,350,26,10,1,388,1306,6,0,4,26,Egg; Milk; Soy,6
Toddle House© Omelet Breakfasts,White Toast - 2 Slices,False,130,2,0,0,0,260,25,1,3,4,Milk; Soy; Wheat,6
Toddle House© Omelet Breakfasts,Wheat Toast - 2 Slices,False,120,2,0,0,0,250,26,4,2,6,Milk; Soy; Wheat,6
Toddle House© Omelet Breakfasts,Raisin Toast - 2 Slices,False,220,3,0,0,0,280,42,2,16,6,Milk; Soy; Wheat,6
Toddle House© Omelet Breakfasts,Grilled Biscuit,False,300,15,9,0,0,800,34,1,2,5,Egg; Milk; Soy; Wheat,6
Toddle House© Omelet Breakfasts,Texas Toast - 1 Slice,False,100,1,0,0,0,190,19,1,2,3,Milk; Soy; Wheat,6
Toddle House© Omelet Breakfasts,Grits,False,90,3,1,0,0,300,16,1,0,3,Egg; Milk; Soy; Wheat,6
